SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;ISSUEDATE;EMITENTNAME;INN;LOTSIZE
AMZN-RM;Amazon;Amazon.com Inc.;Иностранные акции;US0231351067;;3;0,01;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;21.05.2018;Amazon.com, Inc.;;1
APTK;Аптеки36и6;"ПАО ""Аптечная сеть 36,6"" ао";Акции обыкновенные;RU0008081765;1-01-07335-A;2;0,64;RUB;TQBR;Т+: Акции и ДР - безадрес.;21.12.2005;"Публичное акционерное общество ""Аптечная сеть 36,6""";7722266450;10
AQUA;РусАква ао;Русская Аквакультура ПАО ао;Акции обыкновенные;RU000A0JQTS3;1-01-04461-D;2;100;RUB;TQBR;Т+: Акции и ДР - безадрес.;16.04.2010;"Публичное  акционерное общество ""Русская Аквакультура""";7816430057;10
ARSA;Арсагера;УК Арсагера ПАО-ао;Акции обыкновенные;RU000A0JP0Q7;1-01-03163-D;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;07.04.2008;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""АРСАГЕРА""";7840303927;1000
ASSB;АстрЭнСб;"""Астраханская ЭСК"" ПАО";Акции обыкновенные;RU000A0D8MM8;1-01-55064-E;3;0,007;RUB;TQBR;Т+: Акции и ДР - безадрес.;16.09.2005;"Публичное акционерное общество ""Астраханская энергосбытовая компания""";3017041554;1000
ATVI-RM;Activision;Activision Blizzard, Inc.;Иностранные акции;US00507V1098;;3;0;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;21.05.2018;Activision Blizzard, Inc. (Эктивижн Близзард, Инк.);4913;1
AVAN;Авангрд-ао;"АКБ ""АВАНГАРД"" ПАО ао";Акции обыкновенные;RU000A0DM7B3;10102879B;3;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.07.2012;"Акционерный Коммерческий банк ""АВАНГАРД"" - публичное акционерное общество";7702021163;1
BA-RM;Boeing;The Boeing Company;Иностранные акции;US0970231058;;3;5;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;17.09.2018;The Boeing Company;;1
BANE;Башнефт ао;Башнефть АНК ао;Акции обыкновенные;RU0007976957;1-01-00013-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;18.11.2011;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""";274051582;1
BANEP;Башнефт ап;Башнефть АНК ап;Акции привилегированные;RU0007976965;2-01-00013-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;18.11.2011;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""";274051582;1
BELU;Белуга ао;Белуга Групп ПАО ао;Акции обыкновенные;RU000A0HL5M1;1-01-55052-E;2;100;RUB;TQBR;Т+: Акции и ДР - безадрес.;20.11.2007;"Публичное акционерное общество ""Белуга Групп""";7705634425;1
BISV;БашИнСв ао;Башинформсвязь(ПАО) ао;Акции обыкновенные;RU0009059216;1-01-00011-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;23.04.2010;"Публичное акционерное общество ""Башинформсвязь""";274018377;100
BISVP;БашИнСв ап;Башинформсвязь(ПАО) ап;Акции привилегированные;RU0009100176;2-01-00011-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;23.04.2010;"Публичное акционерное общество ""Башинформсвязь""";274018377;100
BLNG;Белон ао;Белон ОАО ао;Акции обыкновенные;RU000A0J2QG8;1-06-10167-F;3;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;16.01.2009;"Открытое акционерное общество ""Белон""";5410102823;100
BRZL;БурЗолото;Бурятзолото ПАО ао;Акции обыкновенные;RU0009288658;1-06-20577-F;3;0,025;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.12.2011;"Публичное акционерное общество ""Бурятзолото""";323027345;1
BSPB;БСП ао;"ПАО ""Банк ""Санкт-Петербург"" ао";Акции обыкновенные;RU0009100945;10300436B;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;19.03.2008;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";7831000027;10
CBOM;МКБ ао;"""МКБ"" ПАО ао";Акции обыкновенные;RU000A0JUG31;10101978B;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;22.06.2015;"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)";7734202860;100
CHEP;ЧТПЗ ао;"""ЧТПЗ"" ПАО ао";Акции обыкновенные;RU0009066807;1-01-00182-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.12.2008;"Публичное акционерное общество ""Челябинский трубопрокатный завод""";7449006730;10
CHGZ;РН-ЗапСиб;РН-Западная Сибирь ПАО ао;Акции обыкновенные;RU0009082291;1-01-00185-A;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.12.2011;"Публичное акционерное общество ""РН-Западная Сибирь""";8620003528;100
CHKZ;ЧКПЗ ао;"""ЧКПЗ"" ПАО ао";Акции обыкновенные;RU000A0JNST0;1-03-45058-D;3;200;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.12.2008;"Публичное акционерное общество ""Челябинский кузнечно-прессовый завод""";7449006184;1
CHMF;СевСт-ао;Северсталь (ПАО)ао;Акции обыкновенные;RU0009046510;1-02-00143-A;1;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;02.06.2005;"Публичное акционерное общество ""Северсталь""";3528000597;1
CHMK;ЧМК ао;"""ЧМК"" ПАО ао";Акции обыкновенные;RU0007665170;1-01-00080-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.12.2008;"Публичное акционерное общество ""Челябинский металлургический комбинат""";7450001007;1
CNTL;Телеграф;"""Центральный Телеграф"" ПАО ао";Акции обыкновенные;RU0007665147;1-03-00327-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.12.2008;"Публичное акционерное общество ""Центральный телеграф""";7710146208;100
CNTLP;Телеграф-п;"""Центральный Телеграф"" ПАО ап";Акции привилегированные;RU0007665139;2-03-00327-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;25.10.2011;"Публичное акционерное общество ""Центральный телеграф""";7710146208;100
DASB;ДагСб ао;ао Дагестанская энергосб.комп.;Акции обыкновенные;RU000A0F63G0;1-01-55094-E;3;0,003;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.01.2006;"Публичное акционерное общество ""Дагестанская энергосбытовая компания""";541031172;10000
DIOD;ЗаводДИОД;Завод ДИОД ПАО ао;Акции обыкновенные;RU000A0JQWC1;1-03-06923-A;3;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.06.2010;"Публичное акционерное общество Завод экологической техники и экопитания ""ДИОД""";7725024805;100
DIS-RM;Disney;The Walt Disney Company;Иностранные акции;US2546871060;;3;0,01;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;21.05.2018;The Walt Disney Company (Зе Уолт Дисней Кампани);4914;1
DSKY;ДетскийМир;ПАО Детский мир;Акции обыкновенные;RU000A0JSQ90;1-02-00844-A;1;0,0004;RUB;TQBR;Т+: Акции и ДР - безадрес.;10.02.2017;"Публичное акционерное общество ""Детский мир""";7729355029;10
DVEC;ДЭК ао;"""ДЭК"" ПАО ао";Акции обыкновенные;RU000A0JP2W1;1-01-55275-E;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;13.12.2007;"Публичное акционерное общество ""Дальневосточная энергетическая компания""";2723088770;1000
DZRD;iДонскЗР;Донской завод радиодеталей ао;Акции обыкновенные;RU000A0JQW11;1-01-02677-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;30.12.2010;"Открытое акционерное общество ""Донской завод радиодеталей""";7114001610;1
DZRDP;iДонскЗР п;Донской завод радиодеталей ап;Акции привилегированные;RU000A0JQW29;2-01-02677-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;30.12.2010;"Открытое акционерное общество ""Донской завод радиодеталей""";7114001610;1
EELT;ЕвроЭлтех;"""ЕвропЭлектротехника"" ПАО ао";Акции обыкновенные;RU000A0JWW54;1-01-83993-H;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;07.09.2017;"Публичное акционерное общество ""Европейская Электротехника""";7716814300;10
ELTZ;Электрцинк;Электроцинк ПАО ао;Акции обыкновенные;RU000A0B66V1;1-02-30394-E;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.10.2008;"Публичное акционерное общество ""Электроцинк""";1500000113;1
ENPG;ЭН+ГРУП ао;МКПАО ЭН+ ГРУП ао;Акции обыкновенные;RU000A100K72;1-01-16625-A;1;7,00E-05;USD;TQBR;Т+: Акции и ДР - безадрес.;18.02.2020;"Международная компания публичное акционерное общество ""ЭН+ ГРУП""";3906382033;1
ENRU;ЭнелРос ао;"""Энел Россия"" ПАО";Акции обыкновенные;RU000A0F5UN3;1-01-50077-A;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;01.12.2014;"Публичное акционерное общество ""Энел Россия""";6671156423;1000
ETLN;ETLN-гдр;ГДР ETALON GROUP PLC ORD SHS;DR на иностранные акции;US29760G1031;;1;0;USD;TQBR;Т+: Акции и ДР - безадрес.;03.02.2020;Bank of New York Mellon Corporation (Глобальные депозитарные расписки на акции Etalon Group Ltd.);3819;1
FB-RM;Facebook;Facebook Inc.;Иностранные акции;US30303M1027;;3;1,00E-05;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;21.05.2018;Facebook, Inc.;;1
FEES;ФСК ЕЭС ао;"""ФСК ЕЭС"" ПАО ао";Акции обыкновенные;RU000A0JPNN9;1-01-65018-D;1;0,5;RUB;TQBR;Т+: Акции и ДР - безадрес.;16.07.2008;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;10000
FESH;ДВМП ао;ДВ морское пароходство ПАО ао;Акции обыкновенные;RU0008992318;1-03-00032-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.08.2008;"Публичное акционерное общество ""Дальневосточное морское пароходство""";2540047110;100
FIVE;FIVE-гдр;ГДР X5 RetailGroup N.V.ORD SHS;DR на иностранные акции;US98387E2054;;1;0;USD;TQBR;Т+: Акции и ДР - безадрес.;01.02.2018;The Bank of New York Mellon (X5 Retail Group N.V.);1000003782;1
GAZA;ГАЗ ао;ГАЗ ПАО ао;Акции обыкновенные;RU0009034268;1-01-00029-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;16.12.2011;"Публичное акционерное общество ""ГАЗ""";5200000046;10
GAZAP;ГАЗ ап;ГАЗ ПАО ап;Акции привилегированные;RU000A0ZYHF5;2-02-00029-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;30.03.2018;"Публичное акционерное общество ""ГАЗ""";5200000046;10
GAZC;ГАЗКОН-ао;ГАЗКОН (ПАО) ао;Акции обыкновенные;RU000A0JQG86;1-01-09870-A;3;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.09.2011;"Публичное акционерное общество ""ГАЗКОН""";7726510759;10
GAZP;ГАЗПРОМ ао;"""Газпром"" (ПАО) ао";Акции обыкновенные;RU0007661625;1-02-00028-A;1;5;RUB;TQBR;Т+: Акции и ДР - безадрес.;23.01.2006;"Публичное акционерное общество ""Газпром""";7736050003;10
GAZS;ГАЗ-сервис;ГАЗ-сервис (ПАО) ао;Акции обыкновенные;RU000A0JQG78;1-01-09871-A;3;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.09.2011;"Публичное акционерное общество ""ГАЗ-сервис""";7726510741;10
GAZT;ГАЗ-Тек ао;ГАЗ-Тек ПАО ао;Акции обыкновенные;RU000A0JS199;1-01-12996-A;3;100;RUB;TQBR;Т+: Акции и ДР - безадрес.;26.01.2012;"Публичное акционерное общество ""ГАЗ-Тек""";7705821841;10
GCHE;ЧеркизГ-ао;Группа Черкизово ПАО-ао;Акции обыкновенные;RU000A0JL4R1;1-02-10797-A;3;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.04.2008;"Публичное акционерное общество ""Группа Черкизово""";7718560636;1
GEMA;iММЦБ ао;ПАО ММЦБ ао;Акции обыкновенные;RU000A100GC7;1-01-85932-H;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;25.07.2019;"Публичное акционерное общество ""Международный Медицинский Центр Обработки и Криохранения Биоматериалов""";7736317497;1
GMKN;ГМКНорНик;"ГМК ""Нор.Никель"" ПАО ао";Акции обыкновенные;RU0007288411;1-01-40155-F;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;26.12.2006;"Публичное акционерное общество ""Горно-металлургическая компания ""Норильский никель""";8401005730;1
GOOG-RM;Google C;Alphabet Inc.CL C;Иностранные акции;US02079K1079;;3;0,001;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;17.09.2018;Alphabet Inc.;;1
GTRK;ГТМ ао;"ПАО ""ГТМ"" ао";Акции обыкновенные;RU000A0ZYD22;1-01-84907-H;3;100;RUB;TQBR;Т+: Акции и ДР - безадрес.;03.11.2017;"Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ""";9701082537;10
GTSS;ГЕОТЕК ао;ГЕОТЕК Сейсморазведка ПАО ао;Акции обыкновенные;RU000A0JQ7U3;1-01-55378-E;3;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;07.08.2015;"Публичное акционерное общество ""ГЕОТЕК Сейсморазведка""";7203215460;100000
HALS;Галс-Девел;"ПАО ""Галс-Девелопмент""";Акции обыкновенные;RU000A0JNP96;1-01-01017-H;3;50;RUB;TQBR;Т+: Акции и ДР - безадрес.;27.05.2005;"Публичное акционерное общество ""Галс-Девелопмент""";7706032060;1
HIMC;Химпром ао;Химпром ПАО ао;Акции обыкновенные;RU0009098990;1-01-55076-D;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.12.2011;"Публичное акционерное общество ""Химпром""";2124009521;1000
HIMCP;Химпром ап;Химпром ПАО ап;Акции привилегированные;RU0009099006;2-01-55076-D;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.12.2011;"Публичное акционерное общество ""Химпром""";2124009521;100
HYDR;РусГидро;"ПАО ""РусГидро""";Акции обыкновенные;RU000A0JPKH7;1-01-55038-E;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;22.05.2008;"Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""";2460066195;1000
IGST;Ижсталь2ао;Ижсталь ПАО ао 2в.;Акции обыкновенные;RU0002155292;1-02-30078-D;3;1000;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.12.2011;"Публичное акционерное общество ""Ижсталь""";1826000655;1
IGSTP;Ижсталь ап;Ижсталь ПАО ап;Акции привилегированные;RU0002155300;2-02-30078-D;3;1000;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.12.2011;"Публичное акционерное общество ""Ижсталь""";1826000655;1
INGR;ИНГРАД ао;ИНГРАД ПАО ао;Акции обыкновенные;RU000A0DJ9B4;1-01-50020-A;3;1000;RUB;TQBR;Т+: Акции и ДР - безадрес.;30.03.2020;"Публичное акционерное общество ""ИНГРАД""";7702336269;1
INTC-RM;Intel;Intel Corporation;Иностранные акции;US4581401001;;3;0,001;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;17.09.2018;Intel Corporation;;1
IRAO;ИнтерРАОао;"""Интер РАО"" ПАО ао";Акции обыкновенные;RU000A0JPNM1;1-04-33498-E;1;2,80977;RUB;TQBR;Т+: Акции и ДР - безадрес.;01.12.2009;"Публичное акционерное общество ""Интер РАО ЕЭС""";2320109650;1000
IRGZ;ИркЭнерго;Иркутскэнерго(ПАО)-ао;Акции обыкновенные;RU0008960828;1-01-00041-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;10.07.2003;Иркутское публичное акционерное общество энергетики и электрификации;3800000220;100
IRKT;ИРКУТ-3;"Корпорация""ИРКУТ"" ПАО ак.об.-3";Акции обыкновенные;RU0006752979;1-03-00040-A;3;3;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"публичное акционерное общество ""Научно-производственная корпорация ""Иркут""";3807002509;100
ISKJ;iИСКЧ ао;"ПАО ""ИСКЧ""";Акции обыкновенные;RU000A0JNAB6;1-01-08902-A;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;23.05.2006;"Публичное акционерное общество ""Институт Стволовых Клеток Человека""";7702508905;100
JNOS;Славн-ЯНОС;Славнефть-ЯНОС (ПАО) ао;Акции обыкновенные;RU0009100895;1-01-00199-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.10.2008;"Публичное акционерное общество ""Славнефть-Ярославнефтеоргсинтез""";7601001107;100
JNOSP;Слав-ЯНОСп;Славнефть-ЯНОС (ПАО) ап;Акции привилегированные;RU0009101927;2-01-00199-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;22.07.2010;"Публичное акционерное общество ""Славнефть-Ярославнефтеоргсинтез""";7601001107;100
KAZT;Куйбазот;Куйбышевазот ПАО ао;Акции обыкновенные;RU000A0B9BV2;1-01-00067-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.12.2011;"Публичное акционерное общество ""КуйбышевАзот""";6320005915;10
KAZTP;Куйбазот-п;Куйбышевазот ПАО ап;Акции привилегированные;RU000A0B9BW0;2-01-00067-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.12.2011;"Публичное акционерное общество ""КуйбышевАзот""";6320005915;10
KBSB;ТНСэКубань;ТНС энерго Кубань ПАО ао;Акции обыкновенные;RU000A0JNJ11;1-01-55218-E;3;0,56;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.02.2008;"Публичное акционерное общество ""ТНС энерго Кубань""";2308119595;10
KBTK;КузбТК ао;Кузбас.Топл.Комп. ПАО ао;Акции обыкновенные;RU000A0JPYD7;1-02-11330-F;3;0,2;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.05.2010;"Публичное акционерное общество ""Кузбасская Топливная Компания""";4205003440;10
KCHE;КамчатЭ ао;Камчатскэнерго ПАО ао;Акции обыкновенные;RU0006753498;1-02-00235-A;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.03.2008;"Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго""";4100000668;10000
KCHEP;КамчатЭ ап;Камчатскэнерго ПАО ап;Акции привилегированные;RU0006753480;2-02-00235-A;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.07.2008;"Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго""";4100000668;10000
KGKC;КурганГКао;Курганская генер.комп.ПАО ао;Акции обыкновенные;RU000A0JP120;1-01-55226-E;3;7,2;RUB;TQBR;Т+: Акции и ДР - безадрес.;26.09.2012;"Публичное акционерное общество ""Курганская генерирующая компания""";4501122913;10
KGKCP;КурганГКап;Курганская генер. комп. ПАО ап;Акции привилегированные;RU000A0JP138;2-01-55226-E;3;7,2;RUB;TQBR;Т+: Акции и ДР - безадрес.;22.10.2012;"Публичное акционерное общество ""Курганская генерирующая компания""";4501122913;10
KLSB;КалужскСК;"ао""Калужская сбыт.комп.""ПАО";Акции обыкновенные;RU000A0DKZK3;1-01-65057-D;3;0,2;RUB;TQBR;Т+: Акции и ДР - безадрес.;26.08.2005;"Публичное акционерное общество ""Калужская сбытовая компания""";4029030252;100
KMAZ;КАМАЗ;КАМАЗ ПАО;Акции обыкновенные;RU0008959580;1-08-55010-D;2;50;RUB;TQBR;Т+: Акции и ДР - безадрес.;26.02.2004;"Публичное акционерное общество ""КАМАЗ""";1650032058;10
KMEZ;КМЗ;Ковровский механический завод;Акции обыкновенные;RU0006753613;1-02-05376-A;3;250;RUB;TQBR;Т+: Акции и ДР - безадрес.;07.09.2009;"публичное акционерное общество ""Ковровский механический завод""";3305004397;1
KMTZ;КосогМЗ ао;Косогорский метал. завод ПАО;Акции обыкновенные;RU000A0HF1L0;1-01-03975-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.12.2011;"Публичное акционерное общество ""Косогорский металлургический завод""";7104002774;10
KOGK;КоршГОК ао;Коршуновский ГОК ПАО ао;Акции обыкновенные;RU0002155359;1-01-20992-F;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.08.2008;"Публичное акционерное общество ""Коршуновский горно-обогатительный комбинат""";3834002314;1
KRKN;СаратНПЗ;Саратовский НПЗ ПАО ао;Акции обыкновенные;RU0009100408;1-01-00248-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.12.2011;"Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""";6451114900;1
KRKNP;СаратНПЗ-п;Саратовский НПЗ ПАО ап;Акции привилегированные;RU0009100416;2-01-00248-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.12.2011;"Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""";6451114900;1
KRKO;ТКЗКК ао;ТКЗ Красный котельщик ОАО ао;Акции обыкновенные;RU0009098123;1-01-30301-E;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.12.2011;"Открытое акционерное общество Таганрогский котлостроительный завод ""Красный котельщик""";6154023009;100
KRKOP;ТКЗКК ап;ТКЗ Красный котельщик ОАО ап;Акции привилегированные;RU0009098131;2-01-30301-E;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.12.2011;"Открытое акционерное общество Таганрогский котлостроительный завод ""Красный котельщик""";6154023009;100
KROT;КрасОкт-ао;"""КрасныйОктябрь"" ПАО - ао";Акции обыкновенные;RU0008913850;1-02-00060-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.09.2003;"Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь""";7706043263;10
KROTP;КрасОкт-1п;КрасныйОктябрь-1п;Акции привилегированные;RU0008913868;2-01-00060-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь""";7706043263;10
KRSB;Красэсб ао;Красноярскэнергосбыт ао;Акции обыкновенные;RU000A0HMLY1;1-01-55147-E;3;0,02;RUB;TQBR;Т+: Акции и ДР - безадрес.;23.10.2008;"Публичное акционерное общество ""Красноярскэнергосбыт""";2466132221;1000
KRSBP;Красэсб ап;Красноярскэнергосбыт ап;Акции привилегированные;RU000A0HMLZ8;2-01-55147-E;3;0,02;RUB;TQBR;Т+: Акции и ДР - безадрес.;23.10.2008;"Публичное акционерное общество ""Красноярскэнергосбыт""";2466132221;1000
KSGR;Кокс ао;Кокс ПАО ао;Акции обыкновенные;RU000A0ERNT3;1-03-10799-F;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;04.02.2011;"Публичное акционерное общество ""Кокс""";4205001274;10
KTSB;КСБ ао;"""Костромск.сбыт.комп"" ПАО";Акции обыкновенные;RU000A0D8LW9;1-01-55051-E;3;0,04;RUB;TQBR;Т+: Акции и ДР - безадрес.;18.08.2005;"Публичное акционерное общество ""Костромская сбытовая компания""";4401050567;1000
KTSBP;КСБ ап;"""Костромск.сбыт.комп"" ПАО";Акции привилегированные;RU000A0D8PA6;2-01-55051-E;3;0,04;RUB;TQBR;Т+: Акции и ДР - безадрес.;18.08.2005;"Публичное акционерное общество ""Костромская сбытовая компания""";4401050567;10000
KUBE;Кубанэнр;"""Кубаньэнерго"" ПАО";Акции обыкновенные;RU0009046767;1-02-00063-A;3;100;RUB;TQBR;Т+: Акции и ДР - безадрес.;30.09.2003;Публичное акционерное общество энергетики и электрификации Кубани;2309001660;10
KUNF;КУЗОЦМ ао;Каменск-Уральский завод ОАО ао;Акции обыкновенные;RU000A0JPGE2;1-01-32223-D;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.12.2011;"Открытое  акционерное общество ""Каменск-Уральский завод по обработке цветных металлов""";6666003414;100
KUZB;КузнецкийБ;"Банк ""Кузнецкий"" ПАО ао";Акции обыкновенные;RU000A0JSQ66;10100609B;3;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;05.09.2012;"Публичное акционерное общество Банк ""Кузнецкий""";5836900162;10000
KZMS;КЗМС ао;"""КЗМС"" ПАО";Акции обыкновенные;RU000A0JNHK2;1-01-30792-D;3;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;15.08.2006;"Публичное акционерное общество ""Краснокамский завод металлических сеток""";5916000015;10
