SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEUNIT;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;EMITENTNAME;INN;LOTSIZE
RU000A0JRKD2;СПбТел 02;Санкт-Пет.Телеком АО обл. 02;Корпоративные облигации;RU000A0JRKD2;4-02-00740-D;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Санкт-Петербург Телеком""";7815020097;1
RU000A0JRKM3;СПбТел 03;Санкт-Пет.Телеком АО обл. 03;Корпоративные облигации;RU000A0JRKM3;4-03-00740-D;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Санкт-Петербург Телеком""";7815020097;1
RU000A0JRL96;ФСК ЕЭС-13;"""ФСК ЕЭС""(ПАО)-обл. сер.13";Корпоративные облигации;RU000A0JRL96;4-13-65018-D;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1
RU000A0JRLE8;РСХБ 14;"""Россельхозбанк"" (АО) обл.14";Корпоративные облигации;RU000A0JRLE8;41403349B;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1
RU000A0JRMB2;РСХБ 12;"""Россельхозбанк"" (АО) обл.12";Корпоративные облигации;RU000A0JRMB2;41203349B;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1
RU000A0JRMC0;РСХБ 13;"""Россельхозбанк"" (АО) обл.13";Корпоративные облигации;RU000A0JRMC0;41303349B;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1
RU000A0JRSW5;ВТБ 2ИПА;"ВТБ об. 2-ИП класса ""А""";Корпоративные облигации;RU000A0JRSW5;40801623B;3;RUB;TQCB;Т+: Облигации - безадрес.;Банк ВТБ (публичное акционерное общество);7702070139;1
RU000A0JRSX3;ВТБ 2ИПБ;"ВТБ об. 2-ИП класса ""Б""";Корпоративные облигации;RU000A0JRSX3;40901623B;3;RUB;TQCB;Т+: Облигации - безадрес.;Банк ВТБ (публичное акционерное общество);7702070139;1
RU000A0JRTN2;ВЭБ.РФ 10;ВЭБ.РФ об. сер. 10;Корпоративные облигации;RU000A0JRTN2;4-10-00004-T;1;RUB;TQCB;Т+: Облигации - безадрес.;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1
RU000A0JRU20;СЗКК 03;Северо-Зап.концес.комп. сер.03;Корпоративные облигации;RU000A0JRU20;4-01-36388-R;3;RUB;TQCB;Т+: Облигации - безадрес.;"Общество с ограниченной ответственностью ""Северо-Западная концессионная компания""";7709756135;1
RU000A0JRU46;СЗКК 04;Северо-Зап.концес.комп. сер.04;Корпоративные облигации;RU000A0JRU46;4-02-36388-R;3;RUB;TQCB;Т+: Облигации - безадрес.;"Общество с ограниченной ответственностью ""Северо-Западная концессионная компания""";7709756135;1
RU000A0JRUY7;ВЭБлизинг8;ВЭБ-лизинг АО об. 08;Корпоративные облигации;RU000A0JRUY7;4-08-43801-H;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1
RU000A0JRV52;ВЭБлизинг9;ВЭБ-лизинг АО об. 09;Корпоративные облигации;RU000A0JRV52;4-09-43801-H;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1
RU000A0JRVN8;РСХБ 15;"""Россельхозбанк"" (АО) обл.15";Корпоративные облигации;RU000A0JRVN8;41503349B;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1
RU000A0JRVU3;СПбТел 07;Санкт-Пет.Телеком АО обл. 07;Корпоративные облигации;RU000A0JRVU3;4-07-00740-D;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Санкт-Петербург Телеком""";7815020097;1
RU000A0JRZ74;ОткрФКББ03;ПАО ОТКРЫТИЕ ФК Банк БО-03;Биржевые облигации;RU000A0JRZ74;4B020302562B;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""";7706092528;1
RU000A0JS1A6;АИЖ11-1А1;ИА АИЖК 2011-1 ЗАО кл.А1/11;Корпоративные облигации;RU000A0JS1A6;4-01-74103-H;3;RUB;TQCB;Т+: Облигации - безадрес.;"Закрытое акционерное общество ""Ипотечный агент АИЖК 2011-1""";7725699639;1
RU000A0JS1B4;АИЖ11-1А2;ИА АИЖК 2011-1 ЗАО кл.А2/11;Корпоративные облигации;RU000A0JS1B4;4-02-74103-H;3;RUB;TQCB;Т+: Облигации - безадрес.;"Закрытое акционерное общество ""Ипотечный агент АИЖК 2011-1""";7725699639;1
RU000A0JS1F5;Промсвб3;Промсвязьбанк ПАО обл.03;Корпоративные облигации;RU000A0JS1F5;40301470B;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Промсвязьбанк""";7744000912;1
RU000A0JS1W0;ТГК-1 03;ТГК-1 ПАО обл.03;Корпоративные облигации;RU000A0JS1W0;4-03-03388-D;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Территориальная генерирующая компания №1""";7841312071;1
RU000A0JS3L9;СПбТел 05;Санкт-Пет.Телеком АО обл. 05;Корпоративные облигации;RU000A0JS3L9;4-05-00740-D;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Санкт-Петербург Телеком""";7815020097;1
RU000A0JS3M7;СПбТел 04;Санкт-Пет.Телеком АО обл. 04;Корпоративные облигации;RU000A0JS3M7;4-04-00740-D;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Санкт-Петербург Телеком""";7815020097;1
RU000A0JS3U0;Башнефть04;"ПАО ""АНК ""Башнефть"" об. 04";Корпоративные облигации;RU000A0JS3U0;4-04-00013-A;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""";274051582;1
RU000A0JS470;ТГК-1 04;ТГК-1 ПАО обл.04;Корпоративные облигации;RU000A0JS470;4-04-03388-D;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Территориальная генерирующая компания №1""";7841312071;1
RU000A0JS4J1;ЗСД 03;Запад.скор.диаметр АО об.03;Корпоративные облигации;RU000A0JS4J1;4-03-00350-D;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1
RU000A0JS4K9;ЗСД 04;Запад.скор.диаметр АО об.04;Корпоративные облигации;RU000A0JS4K9;4-04-00350-D;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1
RU000A0JS4L7;ЗСД 05;Запад.скор.диаметр АО об.05;Корпоративные облигации;RU000A0JS4L7;4-05-00350-D;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1
RU000A0JS4Z7;ВЭБ.РФ 21;ВЭБ.РФ об. сер. 21;Корпоративные облигации;RU000A0JS4Z7;4-26-00004-T;1;RUB;TQCB;Т+: Облигации - безадрес.;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1
RU000A0JS5A7;МЕТАЛИНВ 5;МЕТАЛЛОИНВЕСТ ХК АО обл. 05;Корпоративные облигации;RU000A0JS5A7;4-05-25642-H;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Холдинговая компания ""МЕТАЛЛОИНВЕСТ""";7705392230;1
RU000A0JS5B5;МЕТАЛИНВ 1;МЕТАЛЛОИНВЕСТ ХК АО обл. 01;Корпоративные облигации;RU000A0JS5B5;4-01-25642-H;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Холдинговая компания ""МЕТАЛЛОИНВЕСТ""";7705392230;1
RU000A0JS5E9;ВымпелКом1;Вымпел-Коммуникации ПАО обл.01;Корпоративные облигации;RU000A0JS5E9;4-01-00027-A;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Вымпел-Коммуникации""";7713076301;1
RU000A0JS5F6;ВымпелКом4;Вымпел-Коммуникации ПАО обл.04;Корпоративные облигации;RU000A0JS5F6;4-04-00027-A;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Вымпел-Коммуникации""";7713076301;1
RU000A0JS5L4;МЕТАЛИНВ 6;МЕТАЛЛОИНВЕСТ ХК АО обл. 06;Корпоративные облигации;RU000A0JS5L4;4-06-25642-H;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Холдинговая компания ""МЕТАЛЛОИНВЕСТ""";7705392230;1
RU000A0JS5M2;ВымпелКом2;Вымпел-Коммуникации ПАО обл.02;Корпоративные облигации;RU000A0JS5M2;4-02-00027-A;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Вымпел-Коммуникации""";7713076301;1
RU000A0JS5R1;МСП Банк 1;МСП Банк АО 01;Корпоративные облигации;RU000A0JS5R1;40103340B;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Российский Банк поддержки малого и среднего предпринимательства""";7703213534;1
RU000A0JS603;МСП Банк 2;МСП Банк АО 02;Корпоративные облигации;RU000A0JS603;40203340B;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Российский Банк поддержки малого и среднего предпринимательства""";7703213534;1
RU000A0JS6M0;РосбанкБО5;РОСБАНК ПАО обл. БО-05;Биржевые облигации;RU000A0JS6M0;4B020503338B;3;RUB;TQCB;Т+: Облигации - безадрес.;Публичное акционерное общество РОСБАНК;7730060164;1
RU000A0JS6N8;РСХБ 16;"""Россельхозбанк"" (АО) обл.16";Корпоративные облигации;RU000A0JS6N8;41603349B;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1
RU000A0JS710;Промсвб5;Промсвязьбанк ПАО обл.05;Корпоративные облигации;RU000A0JS710;40501470B;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Промсвязьбанк""";7744000912;1
RU000A0JS793;Промсвб4;Промсвязьбанк ПАО обл.04;Корпоративные облигации;RU000A0JS793;40401470B;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Промсвязьбанк""";7744000912;1
RU000A0JS9X1;УпрОтходНН;Управление отходами - НН АО;Корпоративные облигации;RU000A0JS9X1;4-01-20453-P;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Управление отходами – НН""";5260278039;1
RU000A0JSGV0;РЖД-32 обл;"""Российские ЖД"" ОАО 32 обл.";Корпоративные облигации;RU000A0JSGV0;4-32-65045-D;1;RUB;TQCB;Т+: Облигации - безадрес.;"открытое акционерное общество ""Российские железные дороги""";7708503727;1
RU000A0JSQ58;ФСК ЕЭС-22;"""ФСК ЕЭС""(ПАО)-обл. сер.22";Корпоративные облигации;RU000A0JSQ58;4-22-65018-D;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1
RU000A0JSZF3;ВТБ 3ИПА;"ВТБ об. 3-ИП класса ""А""";Корпоративные облигации;RU000A0JSZF3;41001623B;3;RUB;TQCB;Т+: Облигации - безадрес.;Банк ВТБ (публичное акционерное общество);7702070139;1
RU000A0JSZG1;ВТБ 3ИПБ;"ВТБ об. 3-ИП класса ""Б""";Корпоративные облигации;RU000A0JSZG1;41101623B;3;RUB;TQCB;Т+: Облигации - безадрес.;Банк ВТБ (публичное акционерное общество);7702070139;1
RU000A0JT2K2;ФСК ЕЭС-25;"""ФСК ЕЭС""(ПАО)-обл. сер.25";Корпоративные облигации;RU000A0JT2K2;4-25-65018-D;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1
RU000A0JT403;ВЭБ.РФ 18;ВЭБ.РФ об. сер. 18;Корпоративные облигации;RU000A0JT403;4-23-00004-T;1;RUB;TQCB;Т+: Облигации - безадрес.;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1
RU000A0JT593;ВолгСпорт2;Волга-Спорт АО обл. 02;Корпоративные облигации;RU000A0JT593;4-02-20468-P;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Волга-Спорт""";5257116711;1
RU000A0JT6B2;ВЭБ.РФ 19;ВЭБ.РФ об. сер. 19;Корпоративные облигации;RU000A0JT6B2;4-24-00004-T;1;RUB;TQCB;Т+: Облигации - безадрес.;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1
RU000A0JT6J5;ГПБ 12;ГПБ (АО) об. сер.12;Корпоративные облигации;RU000A0JT6J5;41200354B;2;RUB;TQCB;Т+: Облигации - безадрес.;"""Газпромбанк"" (Акционерное общество)";7744001497;1
RU000A0JT7M7;РСХБ 17;"""Россельхозбанк"" (АО) обл.17";Корпоративные облигации;RU000A0JT7M7;41703349B;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1
RU000A0JT7T2;ФСК ЕЭС-21;"""ФСК ЕЭС""(ПАО)-обл. сер.21";Корпоративные облигации;RU000A0JT7T2;4-21-65018-D;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1
RU000A0JT874;РСХБ 18;"""Россельхозбанк"" (АО) обл.18";Корпоративные облигации;RU000A0JT874;41803349B;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1
RU000A0JT940;Роснефть04;ПАО НК Роснефть обл.04;Корпоративные облигации;RU000A0JT940;4-04-00122-A;1;RUB;TQCB;Т+: Облигации - безадрес.;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";7706107510;1
RU000A0JT965;Роснефть05;ПАО НК Роснефть обл.05;Корпоративные облигации;RU000A0JT965;4-05-00122-A;1;RUB;TQCB;Т+: Облигации - безадрес.;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";7706107510;1
RU000A0JTB96;ГлДорога 7;Главная дорога АО об.сер. 07;Корпоративные облигации;RU000A0JTB96;4-07-12755-A;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Главная дорога""";7726581132;1
RU000A0JTCV7;АИЖ11А1/12;ИА АИЖК 2011-1 об.кл.А1/12;Корпоративные облигации;RU000A0JTCV7;4-04-74103-H;3;RUB;TQCB;Т+: Облигации - безадрес.;"Закрытое акционерное общество ""Ипотечный агент АИЖК 2011-1""";7725699639;1
RU000A0JTD52;АИЖ11А2/12;ИА АИЖК 2011-1 об.кл.А2/12;Корпоративные облигации;RU000A0JTD52;4-05-74103-H;3;RUB;TQCB;Т+: Облигации - безадрес.;"Закрытое акционерное общество ""Ипотечный агент АИЖК 2011-1""";7725699639;1
RU000A0JTDX1;ДОМ.РФ24об;ДОМ.РФ (АО) обл. сер.А24;Корпоративные облигации;RU000A0JTDX1;4-24-00739-A;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""ДОМ.РФ""";7729355614;1
RU000A0JTFB2;ГлДорога 6;Главная дорога АО об.сер. 06;Корпоративные облигации;RU000A0JTFB2;4-06-12755-A;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Главная дорога""";7726581132;1
RU000A0JTKA4;ФСК ЕЭС-24;"""ФСК ЕЭС""(ПАО)-обл. сер.24";Корпоративные облигации;RU000A0JTKA4;4-24-65018-D;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1
RU000A0JTLJ3;МЕТАЛИНВ 2;МЕТАЛЛОИНВЕСТ ХК АО обл. 02;Корпоративные облигации;RU000A0JTLJ3;4-02-25642-H;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Холдинговая компания ""МЕТАЛЛОИНВЕСТ""";7705392230;1
RU000A0JTLL9;МЕТАЛИНВ 3;МЕТАЛЛОИНВЕСТ ХК АО обл. 03;Корпоративные облигации;RU000A0JTLL9;4-03-25642-H;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Холдинговая компания ""МЕТАЛЛОИНВЕСТ""";7705392230;1
RU000A0JTM28;Башнефть06;"ПАО ""АНК ""Башнефть"" об. 06";Корпоративные облигации;RU000A0JTM28;4-06-00013-A;1;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""";274051582;1
RU000A0JTM36;Башнефть07;"ПАО ""АНК ""Башнефть"" об. 07";Корпоративные облигации;RU000A0JTM36;4-07-00013-A;1;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""";274051582;1
